xi_1,xi_2,P
0.4910445565421163,0.6329125403529774,0.0
0.49827343975728877,0.6266056368353236,0.0
0.5055650295153438,0.6203713362875616,0.0
0.5129185966633824,0.6142102621345505,0.0
0.5203334058508164,0.6081230304785725,0.0
0.5278087156029068,0.60211025003772,0.0
0.5353437783949078,0.5961725220850264,0.0
0.5429378407268199,0.5903104403883384,0.0
0.5505901431987372,0.5845245911509416,0.0
0.5582999205867899,0.5788155529529376,0.0
0.566066401919664,0.5731838966933889,0.0
0.5738888105556983,0.5676301855332283,0.0
0.5817663642605485,0.5621549748389432,0.0
0.5896982752854074,0.5567588121270415,0.0
0.597683750445783,0.551442237009297,0.0
0.6057219912008139,0.546205781138791,0.0
0.6138121937331239,0.5410499681567464,0.0
0.6219535490291999,0.535975313640166,0.0
0.6301452429602977,0.5309823250502719,0.0
0.6383864563638504,0.5260715016817624,0.0
0.6466763651253862,0.5212433346128816,0.0
0.6550141402609355,0.5164983066563137,0.0
0.6633989479999338,0.5118368923108998,0.0
0.6718299498685946,0.5072595577141898,0.0
0.6803063027737573,0.5027667605958288,0.0
0.6888271590871935,0.49835895023178534,0.0
0.6973916667303734,0.49403656739942226,0.0
0.70599896925967,0.4898000443334207,0.0
0.7146482059520035,0.4856498046825568,0.0
0.723338511890911,0.48158626346733735,0.0
0.7320690180530411,0.47760982703849764,0.0
0.7408388513950532,0.4737208930363669,0.0
0.7496471349409219,0.46991985035110384,0.0
0.7584929878696314,0.46620707908381054,0.0
0.767375525603261,0.46258295050851916,0.0
0.7762938598954394,0.4590478270350673,0.0
0.7852470989201703,0.4556020621728559,0.0
0.7942343473610104,0.4522460004955007,0.0
0.8032547065006059,0.44897997760637187,0.0
0.8123072743105597,0.44580432010503723,0.0
0.8213911455416347,0.4427193455546,0.0
0.8305054118142784,0.4397253624499444,0.0
0.839649161709457,0.4368226701868866,0.0
0.8488214808598018,0.43401155903223365,0.0
0.8580214520410412,0.4312923100947582,0.0
0.8672481552637246,0.428665195297088,0.0
0.8765006678652169,0.42613047734851395,0.0
0.8857780646019691,0.42368840971871824,0.0
0.8950794177420387,0.4213392366124291,0.0
0.9044037971578638,0.4190831929449992,0.0
0.9137502704192713,0.4169205043189156,0.0
0.9231179028867246,0.41485138700123847,0.0
0.9325057578047833,0.4128760479019754,0.0
0.9419128963957796,0.41099468455338994,0.0
0.951338377953692,0.4092074850902495,0.0
0.9607812599382202,0.40751462823101114,0.0
0.9702405980690345,0.4059162832599498,0.0
0.9797154464202058,0.40441261001023043,0.0
0.9892048575147926,0.4030037588479254,0.0
0.9987078824195944,0.4016898706569768,0.0
1.0082235708400398,0.40047107682510874,0.0
1.017750971215217,0.3993474992306887,0.0
1.0272891308130268,0.3983192502305398,0.0
1.0368370958254582,0.39738643264870543,0.0
1.046393911463967,0.39654913976616624,0.0
1.055958622054953,0.3958074553115126,0.0
1.065530271135329,0.39516145345257214,0.0
1.075107901548161,0.3946111987889923,0.0
1.08469055553839,0.394156746345781,0.0
1.094277274848603,0.3937981415678038,0.0
1.1038671008148584,0.3935354203152397,0.0
1.1134590744625492,0.3933686088599948,0.0
1.123052236602305,0.3932977238830758,0.0
1.1326456279259058,0.39332277247292147,0.0
1.1422382891022151,0.3934437521246934,0.0
1.151829260873107,0.39366065074052736,0.0
1.1614175841493979,0.39397344663074263,0.0
1.1710023001067502,0.39438210851601063,0.0
1.1805824502815565,0.39488659553048366,0.0
1.190157076666781,0.3954868572258804,0.0
1.1997252218077648,0.3961828335765316,0.0
1.2092859288979672,0.3969744549853822,0.0
1.2188382418746473,0.3978616422909511,0.0
1.2283812055144658,0.39884430677524696,0.0
1.2379138655290123,0.3999223501726402,0.0
1.247435268660229,0.4010956646796895,0.0
1.2569444627757382,0.402364132965922,0.0
1.266440496964051,0.40372762818556596,0.0
1.2759224216296627,0.4051860139902357,0.0
1.285389288588008,0.4067391445425661,0.0
1.2948401511602807,0.4083868645307962,0.0
1.3042740642680997,0.4101290091843005,0.0
1.3136900845280144,0.411965404290065,0.0
1.3230872703458458,0.41389586621010965,0.0
1.3324646820108434,0.41592020189985124,0.0
1.3418213817896563,0.41803820892740773,0.0
1.3511564340201017,0.4202496754938412,0.0
1.3604689052047367,0.422554380454338,0.0
1.3697578641042032,0.4249520933403226,0.0
1.379022381830353,0.42744257438250466,0.0
1.3882615319391323,0.4300255745348551,0.0
1.39747439052323,0.4327008354995113,0.0
1.4066600363044652,0.4354680897526062,0.0
1.4158175507259154,0.4383270605710208,0.0
1.4249460180437679,0.441277462060055,0.0
1.4340445254188987,0.4443189991820191,0.0
1.4431121630081525,0.4474513677857356,0.0
1.4521480240553275,0.4506742546369542,0.0
1.4611512049818471,0.45398733744967545,0.0
1.4701208054771224,0.45739028491837896,0.0
1.479055928588578,0.46088275675115375,0.0
1.48795568081135,0.4644644037037272,0.0
1.4968191721776307,0.46813486761438816,0.0
1.5056455163456706,0.47189378143980476,0.0
1.5144338306884078,0.4757407692917264,0.0
1.523183236381732,0.47967544647457416,0.0
1.5318928584923657,0.48369741952390877,0.0
1.5405618260653542,0.48780628624577627,0.0
1.549189272211165,0.4920016357569289,0.0
